IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.11.182,8443,8443,true,SIN,Asia Pacific,Singapore,53,4.58
8.219.77.222,8443,8443,true,SIN,Asia Pacific,Singapore,46,4.57
47.236.180.24,8443,8443,true,SIN,Asia Pacific,Singapore,47,4.57
8.218.243.95,2083,2083,true,HKG,Asia Pacific,Hong Kong,122,4.56
47.236.150.13,2083,2083,true,SIN,Asia Pacific,Singapore,166,4.55
8.222.222.64,2096,2096,true,SIN,Asia Pacific,Singapore,64,4.55
47.236.93.176,8443,8443,true,SIN,Asia Pacific,Singapore,66,4.54
47.236.202.91,2096,2096,true,SIN,Asia Pacific,Singapore,121,4.54
47.243.42.219,2096,2096,true,HKG,Asia Pacific,Hong Kong,94,4.54
47.243.27.217,2083,2083,true,HKG,Asia Pacific,Hong Kong,90,4.53
8.218.65.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,119,4.53
8.217.248.220,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,4.52
8.219.114.201,443,443,true,SIN,Asia Pacific,Singapore,90,4.52
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,59,4.52
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,8,4.52
8.219.209.14,2083,2083,true,SIN,Asia Pacific,Singapore,93,4.51
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,54,4.51
8.210.119.11,8443,8443,true,HKG,Asia Pacific,Hong Kong,68,4.50
47.236.75.113,2096,2096,true,SIN,Asia Pacific,Singapore,82,4.49
47.76.159.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,4.47
8.218.2.181,8443,8443,true,HKG,Asia Pacific,Hong Kong,63,4.46
47.243.74.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,103,4.46
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,10,4.45
8.222.237.131,8443,8443,true,SIN,Asia Pacific,Singapore,71,4.45
8.219.103.65,2096,2096,true,SIN,Asia Pacific,Singapore,162,4.44
8.218.136.25,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,4.43
47.236.102.102,8443,8443,true,SIN,Asia Pacific,Singapore,61,4.42
8.219.139.13,2083,2083,true,SIN,Asia Pacific,Singapore,81,4.42
8.218.48.92,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,4.41
47.236.87.246,2096,2096,true,SIN,Asia Pacific,Singapore,84,4.41
8.219.1.92,2053,2053,true,SIN,Asia Pacific,Singapore,53,4.40
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,59,4.40
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,18,4.40
8.219.111.147,2053,2053,true,SIN,Asia Pacific,Singapore,107,4.40
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,129,4.39
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,72,4.39
47.243.91.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,4.38
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,4.36
8.219.5.10,2083,2083,true,SIN,Asia Pacific,Singapore,43,4.36
8.218.85.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,84,4.35
8.210.174.156,2053,2053,true,HKG,Asia Pacific,Hong Kong,76,4.35
8.210.9.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,4.35
8.218.74.119,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,4.34
8.217.251.62,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,4.34
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,61,4.34
8.210.203.7,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,4.34
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,49,4.33
8.222.237.131,2053,2053,true,SIN,Asia Pacific,Singapore,111,4.33
8.218.65.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,4.32
8.219.51.211,2096,2096,true,SIN,Asia Pacific,Singapore,51,4.32
8.219.126.240,2083,2083,true,SIN,Asia Pacific,Singapore,86,4.31
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,37,4.30
47.243.60.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,46,4.30
8.218.146.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,4.30
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,4.30
8.222.214.231,443,443,true,SIN,Asia Pacific,Singapore,83,4.30
8.218.2.181,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,4.29
47.237.14.220,8443,8443,true,SIN,Asia Pacific,Singapore,33,4.28
8.219.174.142,2083,2083,true,SIN,Asia Pacific,Singapore,50,4.27
47.243.90.180,2087,2087,true,HKG,Asia Pacific,Hong Kong,66,4.27
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,88,4.27
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,87,4.27
47.236.237.90,2053,2053,true,SIN,Asia Pacific,Singapore,79,4.26
8.218.142.253,8443,8443,true,HKG,Asia Pacific,Hong Kong,93,4.25
47.237.0.31,8443,8443,true,SIN,Asia Pacific,Singapore,81,4.23
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,32,4.23
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,104,4.23
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,80,4.22
47.76.159.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,59,4.21
