IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.37.222,443,443,true,FRA,Europe,Frankfurt,280,4.61
34.90.123.76,443,443,true,FRA,Europe,Frankfurt,256,4.61
34.154.6.72,443,443,true,FRA,Europe,Frankfurt,259,4.60
34.154.37.136,443,443,true,FRA,Europe,Frankfurt,264,4.59
34.154.25.93,443,443,true,FRA,Europe,Frankfurt,273,4.59
34.91.37.222,443,443,true,FRA,Europe,Frankfurt,267,4.59
34.154.197.241,443,443,true,FRA,Europe,Frankfurt,251,4.58
34.118.69.246,443,443,true,FRA,Europe,Frankfurt,362,4.55
34.154.255.210,443,443,true,FRA,Europe,Frankfurt,277,4.55
34.90.10.137,443,443,true,FRA,Europe,Frankfurt,277,4.55
34.116.152.58,443,443,true,FRA,Europe,Frankfurt,370,4.55
34.116.149.177,443,443,true,FRA,Europe,Frankfurt,266,4.55
34.154.132.24,443,443,true,FRA,Europe,Frankfurt,250,4.53
34.118.123.180,443,443,true,FRA,Europe,Frankfurt,268,4.52
34.147.69.215,443,443,true,FRA,Europe,Frankfurt,271,4.51
34.154.223.58,443,443,true,FRA,Europe,Frankfurt,254,4.51
34.116.233.92,443,443,true,FRA,Europe,Frankfurt,268,4.45
34.116.209.116,443,443,true,FRA,Europe,Frankfurt,288,4.44
34.65.23.245,443,443,true,FRA,Europe,Frankfurt,251,4.44
34.91.254.161,443,443,true,FRA,Europe,Frankfurt,259,4.43
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,280,4.43
34.118.123.100,443,443,true,FRA,Europe,Frankfurt,281,4.42
34.116.141.170,443,443,true,FRA,Europe,Frankfurt,268,4.42
34.90.238.116,443,443,true,FRA,Europe,Frankfurt,262,4.41
34.154.99.104,443,443,true,FRA,Europe,Frankfurt,252,4.41
34.32.207.224,443,443,true,FRA,Europe,Frankfurt,284,4.40
34.154.209.20,443,443,true,FRA,Europe,Frankfurt,248,4.40
34.116.147.20,443,443,true,FRA,Europe,Frankfurt,367,4.39
34.65.76.138,443,443,true,FRA,Europe,Frankfurt,264,4.39
34.65.184.103,443,443,true,FRA,Europe,Frankfurt,279,4.39
34.65.214.170,443,443,true,FRA,Europe,Frankfurt,266,4.37
34.116.145.131,443,443,true,FRA,Europe,Frankfurt,365,4.36
34.65.251.175,443,443,true,FRA,Europe,Frankfurt,252,4.36
34.116.235.143,443,443,true,FRA,Europe,Frankfurt,371,4.36
34.90.238.116,443,443,true,FRA,Europe,Frankfurt,256,4.35
34.118.107.80,443,443,true,FRA,Europe,Frankfurt,290,4.33
34.118.69.246,443,443,true,FRA,Europe,Frankfurt,269,4.31
34.34.26.230,443,443,true,FRA,Europe,Frankfurt,261,4.30
34.65.214.170,443,443,true,FRA,Europe,Frankfurt,262,4.29
34.154.175.22,443,443,true,FRA,Europe,Frankfurt,253,4.25
34.32.169.219,443,443,true,FRA,Europe,Frankfurt,273,4.24
34.154.95.104,443,443,true,FRA,Europe,Frankfurt,255,4.24
34.118.38.18,443,443,true,FRA,Europe,Frankfurt,388,4.23
34.116.166.20,443,443,true,FRA,Europe,Frankfurt,338,4.22
34.65.222.99,443,443,true,FRA,Europe,Frankfurt,262,4.19
34.65.234.143,443,443,true,FRA,Europe,Frankfurt,270,4.18
34.118.63.12,443,443,true,FRA,Europe,Frankfurt,337,4.18
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,361,4.17
34.65.82.210,443,443,true,FRA,Europe,Frankfurt,259,4.16
34.91.64.220,443,443,true,FRA,Europe,Frankfurt,256,4.15
34.65.168.136,443,443,true,FRA,Europe,Frankfurt,255,4.14
34.116.235.143,443,443,true,FRA,Europe,Frankfurt,292,4.12
34.65.106.25,443,443,true,FRA,Europe,Frankfurt,252,4.12
34.118.61.6,443,443,true,FRA,Europe,Frankfurt,291,4.11
34.118.5.226,443,443,true,FRA,Europe,Frankfurt,328,4.08
34.116.249.141,443,443,true,FRA,Europe,Frankfurt,280,4.08
34.116.201.167,443,443,true,FRA,Europe,Frankfurt,280,4.06
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,252,4.05
34.118.63.12,443,443,true,FRA,Europe,Frankfurt,275,4.05
34.118.81.8,443,443,true,FRA,Europe,Frankfurt,296,4.05
34.154.168.164,443,443,true,FRA,Europe,Frankfurt,281,4.04
34.118.20.158,443,443,true,FRA,Europe,Frankfurt,276,4.03
34.107.49.193,443,443,true,FRA,Europe,Frankfurt,333,4.02
34.154.54.43,443,443,true,FRA,Europe,Frankfurt,274,3.96
34.118.99.208,443,443,true,FRA,Europe,Frankfurt,275,3.96
34.90.210.245,443,443,true,FRA,Europe,Frankfurt,268,3.94
34.154.69.52,443,443,true,FRA,Europe,Frankfurt,264,3.93
34.154.80.172,443,443,true,FRA,Europe,Frankfurt,263,3.92
34.118.5.226,443,443,true,FRA,Europe,Frankfurt,270,3.91
34.154.197.8,443,443,true,FRA,Europe,Frankfurt,270,3.90
34.118.99.208,443,443,true,FRA,Europe,Frankfurt,268,3.89
34.118.85.198,443,443,true,FRA,Europe,Frankfurt,287,3.88
34.116.208.99,443,443,true,FRA,Europe,Frankfurt,273,3.88
34.116.200.90,443,443,true,FRA,Europe,Frankfurt,343,3.86
34.118.17.230,443,443,true,FRA,Europe,Frankfurt,285,3.86
34.118.93.127,443,443,true,FRA,Europe,Frankfurt,268,3.85
34.118.87.30,443,443,true,FRA,Europe,Frankfurt,282,3.84
34.118.44.79,443,443,true,FRA,Europe,Frankfurt,270,3.80
34.116.209.116,443,443,true,FRA,Europe,Frankfurt,354,3.79
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,301,3.79
34.154.167.156,443,443,true,FRA,Europe,Frankfurt,252,3.79
34.118.32.217,443,443,true,FRA,Europe,Frankfurt,299,3.77
34.65.118.63,443,443,true,FRA,Europe,Frankfurt,260,3.76
34.116.145.131,443,443,true,FRA,Europe,Frankfurt,278,3.71
34.116.166.20,443,443,true,FRA,Europe,Frankfurt,271,3.69
34.118.109.210,443,443,true,FRA,Europe,Frankfurt,272,3.67
34.105.189.25,443,443,true,LHR,Europe,London,202,3.65
34.116.219.249,443,443,true,FRA,Europe,Frankfurt,268,3.62
34.116.185.16,443,443,true,FRA,Europe,Frankfurt,274,3.59
34.154.113.234,443,443,true,FRA,Europe,Frankfurt,264,3.58
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,295,3.53
34.116.178.230,443,443,true,FRA,Europe,Frankfurt,383,3.53
34.118.121.202,443,443,true,FRA,Europe,Frankfurt,269,3.51
34.90.10.137,443,443,true,FRA,Europe,Frankfurt,270,3.46
34.90.182.217,443,443,true,FRA,Europe,Frankfurt,259,3.38
34.116.176.144,443,443,true,FRA,Europe,Frankfurt,300,3.35
34.118.67.148,443,443,true,FRA,Europe,Frankfurt,379,3.35
34.65.245.221,443,443,true,FRA,Europe,Frankfurt,295,3.32
34.118.46.206,443,443,true,FRA,Europe,Frankfurt,273,3.22
35.204.229.14,443,443,true,FRA,Europe,Frankfurt,280,3.03
35.204.203.223,443,443,true,FRA,Europe,Frankfurt,272,2.87
34.90.94.175,443,443,true,FRA,Europe,Frankfurt,259,2.87
34.107.43.137,443,443,true,FRA,Europe,Frankfurt,329,2.83
34.107.13.184,443,443,true,FRA,Europe,Frankfurt,304,2.80
35.198.158.4,443,443,true,FRA,Europe,Frankfurt,253,2.77
34.107.105.77,443,443,true,FRA,Europe,Frankfurt,296,2.74
34.89.245.184,443,443,true,FRA,Europe,Frankfurt,266,2.70
34.107.80.187,443,443,true,FRA,Europe,Frankfurt,296,2.64
34.90.2.209,443,443,true,FRA,Europe,Frankfurt,259,2.62
34.154.220.148,443,443,true,FRA,Europe,Frankfurt,332,2.62
34.90.182.217,443,443,true,FRA,Europe,Frankfurt,258,2.62
35.198.93.202,443,443,true,FRA,Europe,Frankfurt,255,2.60
34.118.88.129,443,443,true,FRA,Europe,Frankfurt,327,2.59
34.32.247.251,443,443,true,FRA,Europe,Frankfurt,303,2.55
34.118.19.99,443,443,true,FRA,Europe,Frankfurt,403,2.51
34.89.250.229,443,443,true,FRA,Europe,Frankfurt,283,2.45
35.204.253.242,443,443,true,FRA,Europe,Frankfurt,274,2.44
34.91.37.222,443,443,true,FRA,Europe,Frankfurt,270,2.43
